,GER_COND1,SWE_COND1,GER_COND2,SWE_COND2,GER_COND3,SWE_COND3,GER_COND4,SWE_COND4
0,2.166666667,1.833333333,0.833333333,2.5,1.166666667,1.166666667,1.666666667,2.333333333
1,2.0,1.333333333,1.5,1.833333333,1.166666667,1.0,2.666666667,1.833333333
2,1.5,1.166666667,1.166666667,1.5,0.833333333,1.0,1.333333333,2.333333333
3,1.333333333,1.0,1.0,1.166666667,1.0,1.0,1.5,1.166666667
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.166666667,0.833333333,1.0,1.666666667,1.166666667,1.0,2.333333333,1.5
6,2.166666667,1.166666667,1.0,1.5,1.0,1.0,1.666666667,1.666666667
7,2.0,1.0,1.333333333,1.0,1.166666667,1.166666667,2.166666667,2.0
8,2.166666667,1.0,1.5,1.0,1.0,1.0,2.666666667,1.166666667
9,2.166666667,1.0,1.0,1.0,1.166666667,1.0,1.5,1.333333333
10,1.666666667,1.0,1.333333333,1.833333333,1.0,1.0,1.5,2.5
11,1.333333333,1.166666667,1.166666667,1.666666667,1.0,1.0,1.5,1.333333333
12,2.166666667,1.0,1.166666667,1.166666667,1.166666667,1.0,2.333333333,1.166666667
13,2.666666667,1.0,1.166666667,1.5,1.333333333,1.0,2.5,1.666666667
14,1.333333333,1.0,1.333333333,1.0,1.5,1.0,1.166666667,1.0
15,2.5,1.333333333,1.0,1.166666667,0.833333333,1.0,1.833333333,1.333333333
16,2.833333333,1.0,1.833333333,1.0,1.666666667,1.0,2.666666667,1.0
17,2.333333333,1.0,1.166666667,1.333333333,1.0,1.0,2.666666667,1.666666667
18,2.333333333,1.0,1.166666667,1.5,1.0,0.833333333,1.5,2.166666667
19,2.166666667,1.5,1.166666667,1.833333333,1.166666667,1.0,1.833333333,2.333333333
20,1.333333333,1.333333333,1.5,1.833333333,1.0,1.0,1.0,1.666666667
21,2.333333333,0.833333333,1.666666667,0.833333333,0.833333333,0.666666667,2.0,1.166666667
22,1.166666667,1.0,1.166666667,1.333333333,1.0,1.0,1.333333333,1.166666667
23,1.0,1.0,1.0,1.0,0.666666667,1.0,0.833333333,1.333333333
24,1.666666667,1.0,0.666666667,1.0,0.833333333,1.0,1.666666667,1.0
25,2.5,1.0,2.333333333,2.0,2.0,1.0,2.833333333,2.166666667
26,2.833333333,1.166666667,2.0,1.666666667,1.5,1.0,2.166666667,2.0
27,2.166666667,1.666666667,1.166666667,2.166666667,1.5,1.166666667,2.5,2.166666667
28,2.5,1.333333333,1.166666667,1.333333333,1.0,0.833333333,2.666666667,1.333333333
29,1.666666667,1.0,1.333333333,0.833333333,0.833333333,0.833333333,2.0,1.0
